,Asian,Black,Hispanic,White
672,0,11,8,11
673,0,8,10,12
674,1,11,9,9
675,0,11,8,11
676,0,9,9,12
677,0,9,8,13
678,0,10,8,12
679,0,9,11,10
680,0,9,10,11
681,0,8,11,11
682,1,12,7,10
683,1,9,10,10
684,0,10,7,13
685,0,9,11,10
686,0,11,9,10
687,0,9,12,9
688,0,10,9,11
689,0,10,8,12
690,0,10,8,12
691,0,12,9,9
692,0,11,9,10
693,0,8,10,12
694,0,11,8,11
695,0,11,9,10
696,0,10,9,11
697,0,11,7,12
698,0,12,7,11
699,0,12,9,9
700,0,7,12,11
701,0,9,14,7
702,0,9,10,11
703,0,10,9,11
704,0,12,8,10
705,0,9,9,12
706,0,14,7,9
707,0,10,10,10
708,0,9,11,10
709,0,10,9,11
710,0,11,7,12
711,0,11,7,12
712,0,11,6,13
713,0,10,9,11
714,0,11,8,11
715,0,12,9,9
716,0,8,12,10
717,0,11,8,11
718,0,12,8,10
719,1,12,9,8
720,0,10,8,12
721,0,9,8,13
722,0,10,7,13
723,0,11,9,10
724,0,11,7,12
725,0,10,9,11
726,0,11,8,11
727,0,10,8,12
728,0,12,7,11
729,0,12,6,12
730,0,11,9,10
731,0,11,8,11
732,0,12,7,11
733,0,11,8,11
734,0,11,9,10
735,0,10,10,10
736,0,13,7,10
737,0,10,7,13
738,0,9,10,11
739,0,10,8,12
740,0,10,11,9
741,0,10,9,11
742,0,11,8,11
743,0,12,8,10
744,0,10,10,10
745,0,10,8,12
746,0,9,12,9
747,0,9,12,9
748,1,10,9,10
749,0,10,11,9
750,0,9,12,9
751,0,10,9,11
752,0,10,10,10
753,0,12,8,10
754,0,9,9,12
755,0,10,10,10
756,0,12,8,10
757,0,10,9,11
758,0,11,9,10
759,0,10,10,10
760,0,11,7,12
761,0,11,9,10
762,0,13,7,10
763,0,9,9,12
764,0,11,7,12
765,0,10,8,12
766,0,10,9,11
767,0,11,9,10
768,0,9,10,11
769,0,11,7,12
770,0,11,7,12
771,0,10,11,9
772,0,10,9,11
773,0,10,7,13
774,0,11,9,10
775,0,11,8,11
776,0,13,8,9
777,0,9,12,9
778,0,10,8,12
779,0,10,9,11
780,0,11,8,11
781,0,11,9,10
782,0,7,11,12
783,0,8,11,11
784,0,10,7,13
785,0,12,9,9
786,0,10,8,12
787,0,10,10,10
788,0,12,5,13
789,0,13,6,11
790,0,11,9,10
791,0,8,10,12
792,0,9,9,12
793,0,9,9,12
794,0,10,9,11
795,0,12,9,9
796,0,12,7,11
797,0,11,6,13
798,0,11,7,12
799,0,10,11,9
800,0,10,8,12
801,0,9,11,10
802,0,10,11,9
803,0,11,9,10
804,0,11,7,12
805,0,9,9,12
806,0,12,7,11
807,0,11,12,7
808,0,9,9,12
809,0,12,6,12
810,0,9,10,11
811,0,11,8,11
812,0,11,7,12
813,0,10,9,11
814,0,11,7,12
815,0,11,7,12
816,0,10,9,11
817,0,10,10,10
818,0,12,7,11
819,0,10,8,12
820,0,10,9,11
821,0,10,9,11
822,0,9,10,11
823,0,9,9,12
824,0,9,11,10
825,0,10,11,9
826,0,9,9,12
827,1,9,8,12
828,0,10,9,11
829,0,12,7,11
