,Asian,Black,Hispanic,White
661,0,14,16,20
662,0,15,18,17
663,0,17,14,19
664,1,17,13,19
665,1,15,15,19
666,1,18,12,19
667,1,16,17,16
668,1,16,17,16
669,0,18,16,16
670,0,17,14,19
671,0,17,15,18
672,0,17,15,18
673,0,15,19,16
674,1,15,17,17
675,0,20,16,14
676,0,15,16,19
677,0,15,14,21
678,0,16,17,17
679,0,18,17,15
680,0,20,16,14
681,1,14,18,17
682,0,18,16,16
683,0,17,15,18
684,0,15,16,19
685,0,18,16,16
686,0,15,14,21
687,0,16,17,17
688,1,15,14,20
689,0,16,16,18
690,0,15,15,20
691,0,19,15,16
692,0,15,15,20
693,0,16,16,18
694,0,18,15,17
695,0,15,16,19
696,0,19,18,13
697,0,14,17,19
698,0,18,13,19
699,0,16,15,19
700,0,19,14,17
701,0,19,13,18
702,0,14,15,21
703,1,15,17,17
704,1,17,14,18
705,0,18,18,14
706,1,19,17,13
707,0,18,13,19
708,0,17,18,15
709,0,17,17,16
710,1,18,17,14
711,0,17,14,19
712,0,14,20,16
713,0,14,19,17
714,0,15,19,16
715,0,19,14,17
716,1,21,15,13
717,0,18,16,16
718,0,15,14,21
719,0,18,16,16
720,0,17,15,18
721,0,16,14,20
722,1,15,20,14
723,0,15,14,21
724,0,15,17,18
725,1,15,17,17
726,0,18,17,15
727,0,18,12,20
728,0,13,18,19
729,0,18,16,16
730,0,19,16,15
731,0,18,16,16
732,0,20,14,16
733,0,18,15,17
734,0,19,16,15
735,0,17,16,17
736,0,18,13,19
737,1,18,13,18
738,0,16,14,20
739,0,17,17,16
740,0,17,15,18
741,0,20,15,15
742,1,19,15,15
743,0,18,15,17
744,0,18,14,18
745,0,13,18,19
746,0,19,14,17
747,0,17,15,18
748,0,17,15,18
749,0,15,20,15
750,0,16,16,18
751,1,16,14,19
752,0,17,17,16
753,0,15,15,20
754,0,17,13,20
755,0,15,13,22
756,0,15,20,15
757,0,19,15,16
758,1,17,15,17
759,1,16,15,18
760,0,16,17,17
761,0,17,15,18
762,0,19,16,15
763,0,14,17,19
764,0,19,16,15
765,0,15,18,17
766,0,18,16,16
767,0,19,13,18
768,0,19,16,15
769,0,15,14,21
770,0,15,17,18
771,0,15,21,14
772,0,16,15,19
773,0,14,12,24
774,0,17,16,17
775,0,13,18,19
776,2,14,16,18
777,0,18,15,17
778,0,17,16,17
779,0,17,16,17
780,0,17,15,18
781,0,18,13,19
782,0,16,15,19
783,0,15,15,20
784,0,16,17,17
785,1,18,14,17
786,0,18,16,16
787,0,14,17,19
788,0,18,14,18
789,0,16,13,21
790,0,15,17,18
791,0,17,16,17
792,1,18,14,17
793,1,16,16,17
794,0,18,18,14
795,0,18,15,17
796,0,13,19,18
797,1,13,17,19
798,0,14,16,20
799,0,19,15,16
800,0,15,16,19
801,0,18,15,17
802,0,15,18,17
803,0,14,19,17
804,0,21,14,15
805,1,16,13,20
806,0,18,18,14
807,0,16,18,16
808,0,15,18,17
809,0,17,17,16
810,0,17,16,17
811,0,15,18,17
812,1,16,18,15
813,0,20,15,15
814,0,20,16,14
815,0,15,16,19
816,0,16,17,17
817,0,18,13,19
818,0,19,17,14
819,1,15,17,17
820,0,20,15,15
821,0,17,13,20
822,0,14,16,20
823,0,15,20,15
824,0,16,17,17
825,1,15,19,15
