,ID,1stChoice,2nd Choice,3rd Choice,4th Choice,5th Choice ,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice
181,000101-00-0362,C18,C16,C03,,,,,,,,,,,,,,,
182,000101-00-0364,C06,C10,C13,C15,C03,C04,C16,C14,C12,,,,,,,,,
183,000101-00-0367,C15,C01,C11,C10,C06,C07,C08,C09,,,,,,,,,,
184,000101-00-0368,C14,C17,C05,C08,C12,,,,,,,,,,,,,
185,000101-00-0370,C07,C09,C08,C10,C11,C01,C02,C06,C05,C16,,,,,,,,
186,000101-00-0371,C18,C17,C05,,,,,,,,,,,,,,,
187,000101-00-0373,C18,C05,C17,,,,,,,,,,,,,,,
188,000101-00-0375,C15,C03,C04,,,,,,,,,,,,,,,
189,000101-00-0377,C18,,,,,,,,,,,,,,,,,
190,000101-00-0379,C18,C05,C17,C14,C04,,,,,,,,,,,,,
191,000101-00-0381,C03,C04,C17,,,,,,,,,,,,,,,
192,000101-00-0383,C17,C18,C12,C03,C13,C16,C05,C04,C14,,,,,,,,,
193,000101-00-0385,C17,,,,,,,,,,,,,,,,,
194,000101-00-0387,C18,C17,C16,C05,C12,C13,,,,,,,,,,,,
195,000101-00-0388,C12,C18,,,,,,,,,,,,,,,,
196,000101-00-0391,C12,C18,,,,,,,,,,,,,,,,
197,000101-00-0392,C18,,,,,,,,,,,,,,,,,
198,000101-00-0394,C18,C04,C17,,,,,,,,,,,,,,,
199,000101-00-0396,C04,C12,C06,,,,,,,,,,,,,,,
200,000101-00-0398,C18,C17,C05,,,,,,,,,,,,,,,
201,000101-00-0401,C18,,,,,,,,,,,,,,,,,
202,000101-00-0403,C17,C18,C05,,,,,,,,,,,,,,,
203,000101-00-0405,C05,C12,C18,C17,,,,,,,,,,,,,,
204,000101-00-0407,C18,C17,C14,,,,,,,,,,,,,,,
205,000101-00-0409,C18,C16,,,,,,,,,,,,,,,,
206,000101-00-0411,C18,C13,C06,,,,,,,,,,,,,,,
207,000101-00-0413,C18,C17,,,,,,,,,,,,,,,,
208,000101-00-0415,C03,C12,C04,,,,,,,,,,,,,,,
209,000101-00-0416,C17,,,,,,,,,,,,,,,,,
210,000101-00-0417,C12,C03,C04,,,,,,,,,,,,,,,
211,000101-00-0420,C05,,,,,,,,,,,,,,,,,
212,000101-00-0422,C17,C12,,,,,,,,,,,,,,,,
213,000101-00-0424,C17,C18,,,,,,,,,,,,,,,,
214,000101-00-0426,C18,C05,C17,,,,,,,,,,,,,,,
215,000101-00-0429,C18,C12,C17,C05,,,,,,,,,,,,,,
